"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","399","User login with wrong credentials","tests","Sat Jan 24 13:03:03 UTC 2026","passed","Sat Jan 24 13:03:04 UTC 2026","TestAuthorization","test_authorization","",""
"","740","User login with wrong credentials","tests","Sat Jan 24 13:03:05 UTC 2026","passed","Sat Jan 24 13:03:06 UTC 2026","TestAuthorization","test_authorization","",""
"","641","User login with wrong credentials","tests","Sat Jan 24 13:03:09 UTC 2026","passed","Sat Jan 24 13:03:10 UTC 2026","TestAuthorization","test_authorization","",""
"","384","User login with locked out user credentials","tests","Sat Jan 24 13:03:06 UTC 2026","passed","Sat Jan 24 13:03:07 UTC 2026","TestAuthorization","test_authorization","",""
"","6012","User login with performance_glitch_user credentials","tests","Sat Jan 24 13:03:21 UTC 2026","passed","Sat Jan 24 13:03:27 UTC 2026","TestAuthorization","test_authorization","",""
"","1543","User login with correct credentials","tests","Sat Jan 24 13:03:07 UTC 2026","passed","Sat Jan 24 13:03:09 UTC 2026","TestAuthorization","test_authorization","",""
"","787","User login with correct credentials","tests","Sat Jan 24 13:03:00 UTC 2026","passed","Sat Jan 24 13:03:01 UTC 2026","TestAuthorization","test_authorization","",""
"","807","User login with empty credentials","tests","Sat Jan 24 13:03:10 UTC 2026","passed","Sat Jan 24 13:03:11 UTC 2026","TestAuthorization","test_authorization","",""
"","5521","User login with performance_glitch_user credentials","tests","Sat Jan 24 13:03:15 UTC 2026","passed","Sat Jan 24 13:03:20 UTC 2026","TestAuthorization","test_authorization","",""
"","931","User login with correct credentials","tests","Sat Jan 24 13:03:02 UTC 2026","passed","Sat Jan 24 13:03:03 UTC 2026","TestAuthorization","test_authorization","",""
"","1197","User login with locked out user credentials","tests","Sat Jan 24 13:03:10 UTC 2026","passed","Sat Jan 24 13:03:11 UTC 2026","TestAuthorization","test_authorization","",""
"","5835","User login with performance_glitch_user credentials","tests","Sat Jan 24 13:03:13 UTC 2026","passed","Sat Jan 24 13:03:19 UTC 2026","TestAuthorization","test_authorization","",""
"","1108","User login with empty credentials","tests","Sat Jan 24 13:03:13 UTC 2026","passed","Sat Jan 24 13:03:14 UTC 2026","TestAuthorization","test_authorization","",""
"","530","User login with empty credentials","tests","Sat Jan 24 13:03:12 UTC 2026","passed","Sat Jan 24 13:03:13 UTC 2026","TestAuthorization","test_authorization","",""
"","1041","User login with locked out user credentials","tests","Sat Jan 24 13:03:07 UTC 2026","passed","Sat Jan 24 13:03:08 UTC 2026","TestAuthorization","test_authorization","",""
